checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
2,12,0,2,1258,1,4,2,1,0,4,1,22,0,2,2,1,1,1,0,0
0,24,1,2,4169,1,1,4,0,0,4,1,28,0,0,1,0,1,1,0,0
0,36,1,4,5493,1,0,2,0,0,4,2,42,0,1,1,0,2,1,0,0
0,48,4,5,7685,1,2,2,1,1,4,3,37,0,2,1,0,1,1,0,1
0,12,0,3,3499,1,1,3,1,2,2,0,29,0,0,2,0,1,1,0,1
2,24,1,5,4591,3,1,2,0,0,3,1,54,0,0,3,2,1,0,0,1
0,24,1,2,4020,1,1,2,0,0,2,3,27,2,0,1,0,1,1,0,0
1,11,2,0,4771,1,2,2,0,0,4,1,51,0,0,1,0,1,1,0,0
1,18,0,3,884,1,0,4,0,0,4,3,36,1,0,1,0,2,0,0,1
2,24,1,0,2284,1,2,4,0,0,2,3,28,0,0,1,0,1,0,0,0
2,6,0,0,1740,1,0,2,3,0,2,0,30,0,2,2,0,1,1,0,0
2,6,1,3,3518,1,1,2,0,1,3,1,26,0,2,1,0,1,1,0,0
1,18,1,4,2779,1,1,1,3,0,3,3,21,0,2,1,0,1,0,0,0
0,24,0,4,6615,1,3,2,0,0,4,2,75,0,1,2,2,1,0,0,0
1,36,1,4,9398,1,4,1,3,0,4,3,28,0,2,1,2,1,0,0,1
3,21,1,3,2923,4,1,1,1,0,1,3,28,1,0,1,2,1,0,0,0
2,9,0,1,936,2,0,4,0,0,2,3,52,0,0,2,0,1,0,0,0
2,15,1,3,3186,3,2,2,1,0,3,3,20,0,2,1,0,1,1,0,0
2,15,1,0,1386,0,1,4,3,0,2,0,40,0,2,1,0,1,0,0,0
2,18,1,2,1984,1,1,4,0,0,4,2,47,1,1,2,0,1,1,0,0
0,8,0,8,1164,1,0,3,0,0,4,2,51,1,1,2,2,2,0,0,0
2,18,3,5,4165,1,1,2,0,0,2,3,36,2,0,2,0,2,1,0,1
1,36,1,7,2384,1,4,4,0,0,1,2,33,0,2,1,1,1,1,0,1
1,48,3,8,18424,1,1,1,1,0,2,1,32,1,0,1,2,1,0,1,1
2,24,1,4,2670,1,0,4,0,0,4,3,35,0,0,1,2,1,0,0,0
2,6,1,1,1538,1,4,1,1,0,2,2,56,0,0,1,0,1,1,0,0
1,48,1,2,9960,1,4,1,1,0,2,3,26,0,0,1,0,1,0,0,1
0,24,1,2,2359,4,3,1,2,0,1,1,33,0,0,1,0,1,1,0,1
0,12,0,3,691,1,0,4,0,0,3,1,35,0,0,2,0,1,1,0,1
1,30,3,5,4280,4,1,4,1,0,4,3,26,0,2,2,1,1,1,0,1
0,24,2,3,1333,1,3,4,0,0,2,0,43,0,1,2,0,2,1,0,1
1,36,0,4,5800,1,1,3,0,0,4,3,34,0,0,2,0,1,0,0,0
1,48,4,5,3566,4,2,4,0,0,2,3,30,0,0,1,0,1,1,0,0
3,24,1,0,1258,2,1,3,1,0,3,3,57,0,0,1,1,1,1,0,0
2,24,1,2,5511,4,1,4,0,0,1,3,25,2,0,1,0,1,1,0,0
2,15,1,0,3568,1,0,4,1,0,2,3,54,1,2,1,2,1,0,0,0
1,72,1,0,5595,4,1,2,3,0,2,3,24,0,0,1,0,1,1,0,1
2,24,1,3,2255,0,4,4,0,0,1,1,54,0,0,1,0,1,1,0,0
0,42,0,7,3394,1,3,4,0,2,4,3,65,0,0,2,3,1,1,0,0
0,48,1,4,10297,1,2,4,0,0,4,2,39,2,1,3,0,2,0,0,1
2,18,0,2,1817,1,1,4,1,0,2,2,28,0,0,2,0,1,1,0,0
0,12,1,2,3590,1,1,2,0,2,2,1,29,0,0,1,1,2,1,0,0
0,12,1,3,1893,1,1,4,1,1,4,1,29,0,0,1,0,1,0,0,0
0,12,1,0,701,1,1,4,3,0,2,0,40,0,0,1,1,1,1,0,0
2,36,0,0,9566,1,1,2,1,0,2,3,31,2,0,2,0,1,1,0,0
2,48,1,5,3914,0,1,4,2,0,2,0,38,1,0,1,0,1,1,0,1
2,9,1,2,1313,1,0,1,0,0,4,3,20,0,0,1,0,1,1,0,0
2,9,1,5,1449,1,2,3,1,0,2,3,27,0,0,2,0,1,1,0,0
1,7,1,0,2576,1,1,2,0,1,2,0,35,0,0,1,0,1,1,0,0
1,24,1,0,5084,0,0,2,1,0,4,3,42,0,0,1,0,1,0,0,0
0,10,0,3,1038,1,2,4,0,2,3,1,49,0,0,2,0,1,0,0,0
1,6,1,7,454,1,4,3,3,0,1,1,22,0,0,1,1,1,1,0,0
0,18,2,1,8471,0,1,1,1,0,2,3,23,0,2,2,0,1,0,0,0
0,24,1,3,4817,1,2,2,0,2,3,1,31,0,0,1,0,1,0,0,1
2,18,0,3,1028,1,1,4,1,0,3,0,36,0,0,2,0,1,1,0,0
2,10,1,0,1924,1,1,1,0,0,4,1,38,0,0,1,0,1,0,1,0
2,24,0,0,2872,4,0,3,0,0,4,0,36,0,0,1,0,2,0,0,0
2,18,2,0,2320,1,3,2,3,0,3,0,34,0,0,2,0,1,1,0,0
2,12,0,0,1240,0,0,4,1,0,2,0,38,0,0,2,0,1,0,0,0
0,18,1,0,2600,1,1,4,0,0,4,2,65,0,1,2,0,1,1,0,1
2,24,2,3,2538,1,0,4,0,0,4,3,47,0,0,2,1,2,1,0,1
1,24,1,0,3092,4,4,3,3,0,2,3,22,0,2,1,0,1,0,0,1
2,48,0,4,11590,4,1,2,1,0,4,3,24,1,2,2,1,1,1,0,1
0,12,1,3,1228,1,1,4,1,0,2,0,24,0,0,1,1,1,1,0,1
2,24,1,2,3062,2,0,4,0,0,3,2,32,0,2,1,0,1,0,0,0
2,6,1,2,2978,2,1,1,0,0,2,3,32,0,0,1,0,1,0,0,0
2,24,0,4,2346,1,2,4,0,0,3,3,35,0,0,2,0,1,0,0,0
0,24,3,2,4110,1,0,3,0,0,4,2,23,1,2,2,0,2,1,0,1
1,30,4,2,3496,3,1,4,0,0,2,3,34,2,0,1,0,2,0,0,0
0,6,1,3,14896,1,0,1,0,0,4,2,68,1,0,1,2,1,0,0,1
2,15,0,0,1360,1,1,4,0,0,2,1,31,0,0,2,0,1,1,0,0
1,30,1,0,1715,0,1,4,1,0,1,3,26,0,0,1,0,1,1,0,0
0,24,4,3,1193,1,3,1,1,2,4,2,29,0,2,2,3,1,1,0,1
0,12,1,2,652,1,0,4,1,0,4,1,24,0,2,1,0,1,1,0,0
0,36,1,4,8229,1,1,2,0,0,2,1,26,0,0,1,0,2,1,0,1
1,24,1,8,11328,1,1,2,0,2,3,3,29,1,0,2,2,1,0,0,1
1,30,1,0,2991,0,0,2,1,0,4,3,25,0,0,1,0,1,1,0,0
3,24,1,0,5152,1,2,4,0,0,2,3,25,1,0,1,0,1,1,0,0
0,12,4,0,2149,1,1,4,2,0,1,2,29,0,1,1,0,1,1,0,1
2,18,0,4,3850,1,2,3,0,0,1,3,27,0,0,2,0,1,1,0,0
1,45,0,0,4746,1,4,4,0,0,2,1,25,0,0,2,1,1,1,0,1
1,12,1,0,6468,0,3,2,0,0,1,2,52,0,0,1,2,1,0,0,1
2,6,3,3,1204,4,1,4,0,0,1,2,35,1,2,1,0,1,1,1,0
1,9,1,3,276,1,1,4,3,0,4,0,22,0,2,1,1,1,1,0,0
3,24,0,3,1344,0,2,4,0,0,2,0,37,1,0,2,1,2,1,0,1
2,20,0,3,3485,0,4,2,2,0,4,0,44,0,0,2,0,1,0,0,0
