checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class
1,18,3,3,2278,4,4,3,1,0,3,3,28,0,0,2,0,1,1,0,1
0,6,1,4,1352,2,3,1,1,0,2,1,23,0,2,1,3,1,0,0,0
2,15,2,4,3594,1,4,1,1,0,2,1,46,0,0,2,1,1,1,0,0
1,24,1,0,1967,1,0,4,1,0,4,3,20,0,0,1,0,1,0,0,0
1,36,0,3,2820,1,4,4,2,0,4,3,27,0,0,2,0,1,1,0,1
2,6,1,0,2108,1,2,2,3,0,2,0,29,0,2,1,0,1,1,0,0
1,18,0,2,7374,1,3,4,0,0,4,1,40,2,0,2,2,1,0,0,0
1,24,1,3,1201,1,4,4,0,0,1,1,26,0,0,1,0,1,1,0,0
1,27,0,0,2520,2,1,4,0,0,2,1,23,0,0,2,1,1,1,0,1
0,18,1,1,750,1,3,4,1,0,1,0,27,0,0,1,3,1,1,0,1
2,24,1,0,1278,1,0,4,0,0,1,0,36,0,0,1,2,1,0,0,0
2,12,0,1,2012,0,2,4,1,0,2,3,61,0,0,1,0,1,1,0,0
1,36,1,1,3711,0,1,2,3,0,2,3,27,0,0,1,0,1,1,0,0
1,12,0,3,3124,1,4,1,0,0,3,0,49,1,0,2,1,2,1,0,0
0,48,1,4,10297,1,2,4,0,0,4,2,39,2,1,3,0,2,0,0,1
0,12,0,3,2122,1,1,3,0,0,2,0,39,0,2,2,1,2,1,1,0
2,24,1,3,7393,1,1,1,0,0,4,1,43,0,0,1,1,2,1,0,0
1,18,1,4,2779,1,1,1,3,0,3,3,21,0,2,1,0,1,0,0,0
1,24,1,4,4113,2,4,3,1,0,4,3,28,0,2,1,0,1,1,0,1
1,16,0,3,1175,1,3,2,0,0,3,3,68,0,1,3,3,1,0,0,0
1,24,0,0,1216,4,4,4,0,0,4,2,38,1,0,2,0,2,1,0,1
2,24,1,3,1474,4,4,4,3,0,3,0,33,0,0,1,0,1,0,0,0
2,15,0,0,1829,1,0,4,0,0,4,3,46,0,0,2,0,1,0,0,0
2,36,2,5,9572,1,4,1,2,0,1,3,28,0,0,2,0,1,1,0,1
1,9,0,2,1919,1,2,4,0,0,3,3,35,0,2,1,0,1,0,0,0
0,21,1,2,3599,1,2,1,1,0,4,3,26,0,2,1,1,1,1,0,0
2,10,0,2,2146,1,4,1,1,0,3,0,23,0,2,2,0,1,1,0,0
2,12,1,0,2279,0,1,4,0,0,4,2,37,0,1,1,0,1,0,0,0
2,9,1,5,1449,1,2,3,1,0,2,3,27,0,0,2,0,1,1,0,0
1,24,0,1,5743,1,4,2,1,0,4,2,24,0,1,2,0,1,0,0,0
0,15,1,3,2511,1,3,1,1,0,4,3,23,0,2,1,0,1,1,0,0
0,30,3,2,4583,1,1,2,2,1,2,0,32,0,0,2,0,1,1,0,0
0,15,2,2,3643,1,0,1,1,0,4,1,27,0,0,2,1,1,1,0,0
3,24,1,2,2892,1,0,3,2,0,4,2,51,0,1,1,0,1,1,0,0
0,18,0,0,1880,1,2,4,3,0,1,1,32,0,0,2,2,1,0,0,0
2,24,0,0,2424,0,0,4,0,0,4,1,53,0,0,2,0,1,1,0,0
0,24,3,2,4110,1,0,3,0,0,4,2,23,1,2,2,0,2,1,0,1
1,27,1,5,3915,1,1,4,0,0,2,3,36,0,0,1,0,2,0,0,1
0,6,1,3,14896,1,0,1,0,0,4,2,68,1,0,1,2,1,0,0,1
1,24,1,4,11560,1,1,1,1,0,4,3,23,0,2,2,2,1,1,0,1
1,9,1,0,458,1,1,4,0,0,3,0,24,0,0,1,0,1,1,0,0
2,12,0,0,618,1,0,4,0,0,4,0,56,0,0,1,0,1,1,0,0
1,24,0,3,3878,4,4,4,2,0,2,3,37,0,0,1,0,1,0,0,0
2,10,1,3,1309,0,1,4,0,1,4,1,27,0,0,1,1,1,1,0,1
0,9,1,2,2136,1,1,3,0,0,2,0,25,0,0,1,0,1,1,0,0
3,18,1,2,2864,1,1,2,0,0,1,0,34,0,0,1,1,2,1,0,1
3,6,1,3,709,3,4,2,3,0,2,0,27,0,0,1,3,1,1,1,0
2,12,0,0,1240,0,0,4,1,0,2,0,38,0,0,2,0,1,0,0,0
2,18,1,0,1453,1,4,3,1,0,1,0,26,0,0,1,0,1,1,0,0
2,6,3,3,1204,4,1,4,0,0,1,2,35,1,2,1,0,1,1,1,0
0,12,1,0,1107,1,1,2,0,0,2,0,20,0,2,1,2,2,0,0,0
0,48,1,5,4308,1,4,3,1,0,4,1,24,0,2,1,0,1,1,0,1
1,15,1,0,1444,0,4,4,0,0,1,1,23,0,0,1,0,1,1,0,0
3,15,1,0,2327,1,4,2,1,0,3,0,25,0,0,1,1,1,1,0,1
2,4,0,3,1455,1,2,2,0,0,1,0,42,0,0,3,1,2,1,0,0
1,24,2,0,6403,1,4,1,0,0,2,3,33,0,0,1,0,1,1,0,0
2,36,2,5,7980,0,4,4,0,0,4,3,27,0,2,2,0,1,0,0,1
2,36,1,5,5742,4,2,2,0,0,2,3,31,0,0,2,0,1,0,0,0
1,18,0,0,1795,1,0,3,1,1,4,0,48,1,2,2,1,1,0,0,0
1,7,1,0,2415,1,1,3,0,1,2,0,34,0,0,1,0,1,1,0,0
1,18,2,7,6204,1,1,2,0,0,4,0,44,0,0,1,1,2,0,0,0
